sentiment,count,mean,std,min,25%,50%,75%,max
Extreme Greed,6893.0,2823.94624987778,20635.142397589618,-152480.06101679357,0.0,0.0,35.2,418723.70735071885
Fear,130353.0,495.62605080377676,9656.837536700366,-2306438.5565552698,0.0,0.0,16.734828729418965,282648.997019899
Greed,35926.0,2680.4621187797375,22109.44309542897,-117990.1041,0.0,0.0,103.19945521626552,2987798.9931817795
Neutral,7068.0,661.4630419070969,4233.516148376693,-2806.5,0.0,0.0,0.39398395511767514,154907.13588685193
Unknown,26106.0,170.18175072988177,4613.493274139894,-83056.32,0.0,0.0,0.5277444993749374,214085.43871082415
